what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105060960
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400105062367
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105070903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105072071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105072254
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105077627
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400105087674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105089437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105097558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105121070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105122141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105908903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105931059
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1400105933798
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400105936201
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1400105937397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400105938880
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400105950138
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105954482
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105974689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105975887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105976111
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105979527
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105986549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105988222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400105988409
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105991632
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400105999968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400106027251
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1400106065550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400106067285
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1400106074765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400106077156
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106083994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106088483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106101032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1400106124335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1400106125412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400106128989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400106130715
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106139035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106141453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106141812
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106144265
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400106150923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400106155991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106160258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106443237
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1400106450792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106455137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106470340
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106470725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106470754
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1400106472929
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106473427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106477416
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106480419
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106481776
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106490813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106491906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106492254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106496073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400106501214
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106501896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400106504351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400106512082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400106513024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400106515055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400106527015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400106527768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106529803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106530610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106530842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106729810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106730885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106768148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1400106777036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1400106784565
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1400106786305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400106789053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106818727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106820410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400106821241
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106831926
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106835606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400106852146
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1400106893167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400106901700
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400106903561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106904598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106904772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400106914246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400107024330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400107027138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400107035178
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400107072894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400107081653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400107081867
